"year","item_code","description","value"
1960,"300","DERECHOS, LICENCIAS, CONCESIONES Y PERMISOS",2308170.23
1960,"020","Derecho de Exportación",26297643.73
1960,"010","Derecho de Importación",69835534.88
1960,"050","Especies Fiscales e Impuestos por Servicios",5172143.88
1960,"","Imp. sobre la renta",17053454.61
1960,"030","Impuestos Sobre Artículos Manufacturados y de Consumo",29749012.85
1960,"040","Impuestos Sobre la Renta y de Viabilidad",17053454.61
1960,"060","Impuestos de Sucesiones y Donaciones",2125493.25
1960,"070","Impuestos por Matrículas de Vehículos",2088954.5
1960,"","Impuestos sobre el comercio exterior",96133178.61
1960,"","Impuestos sobre la propiedad",0
1960,"","Impuestos sobre transacciones internas",37010111.23
1960,"","Ingresos No Tributarios y Otros Ingresos Corrientes",12436982.91
1960,"","Ingresos de Capital",3494754.61
1960,"400","MULTAS Y COMISOS",1184828.11
1960,"","Otros",2314906.39
1960,"090","Otros Impuestos",2314906.39
1960,"200","PRESTACIÓN DE SERVICIOS",7336785.57
1960,"","Total General de Ingresos (Corrientes + Capital)",168443388.36
1960,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",164948633.75
1960,"","Total Ingresos No Tributarios",15931737.52
1960,"","Total Ingresos Tributarios",152511650.84
1960,"100","VENTAS DE MERCADERIAS Y PRODUCTOS",1607199
1961,"","Imp. sobre la renta",0
1961,"","Impuestos sobre el comercio exterior",0
1961,"","Impuestos sobre la propiedad",0
1961,"","Impuestos sobre transacciones internas",0
1961,"","Ingresos No Tributarios y Otros Ingresos Corrientes",18564000
1961,"","Ingresos de Capital",9000
1961,"","Otros",0
1961,"","Total General de Ingresos (Corrientes + Capital)",161124000
1961,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",161115000
1961,"","Total Ingresos No Tributarios",18573000
1961,"","Total Ingresos Tributarios",142551000
1962,"300","DERECHOS, LICENCIAS, CONCESIONES Y PERMISOS",2316969.61
1962,"020","Derecho de Exportación",21087845.96
1962,"010","Derecho de Importación",60015098.23
1962,"050","Especies Fiscales e Impuestos por Servicios",5553539.37
1962,"","Imp. sobre la renta",26796816.5
1962,"030","Impuestos Sobre Artículos Manufacturados y de Consumo",32114979.08
1962,"040","Impuestos Sobre la Renta y de Viabilidad",26796816.5
1962,"060","Impuestos de Sucesiones y Donaciones",2101901.52
1962,"070","Impuestos por Matrículas de Vehículos",2249553.5
1962,"","Impuestos sobre el comercio exterior",81102944.19
1962,"","Impuestos sobre la propiedad",0
1962,"","Impuestos sobre transacciones internas",39918071.95
1962,"","Ingresos No Tributarios y Otros Ingresos Corrientes",13352912.73
1962,"","Ingresos de Capital",3274440.38
1962,"400","MULTAS Y COMISOS",1369809.55
1962,"","Otros",2056601.19
1962,"090","Otros Impuestos",2056601.19
1962,"200","PRESTACIÓN DE SERVICIOS",8377200.13
1962,"","Total General de Ingresos (Corrientes + Capital)",166501786.94
1962,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",163227346.56
1962,"","Total Ingresos No Tributarios",16627353.11
1962,"","Total Ingresos Tributarios",149874433.83
1962,"100","VENTAS DE MERCADERIAS Y PRODUCTOS",1288933.44
1963,"","Imp. sobre la renta",0
1963,"","Impuestos sobre el comercio exterior",0
1963,"","Impuestos sobre la propiedad",0
1963,"","Impuestos sobre transacciones internas",0
1963,"","Ingresos No Tributarios y Otros Ingresos Corrientes",15685000
1963,"","Ingresos de Capital",15000
1963,"","Otros",0
1963,"","Total General de Ingresos (Corrientes + Capital)",181195000
1963,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",181180000
1963,"","Total Ingresos No Tributarios",15700000
1963,"","Total Ingresos Tributarios",165495000
1964,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",50598837.93
1964,"020","Derecho de Exportación",31554482.28
1964,"010","Derecho de Importación",63929548.15
1964,"010","IMPUESTOS SOBRE LA RENTA",35762836.93
1964,"150","IMPUESTOS Y GRAVÁMENES SOBRE ACTIVIDADES PRODUCTIVAS Y COMERCIALES, ACTOS JURIDICOS Y TRANSACCIONES",7069533.03
1964,"200","INGRESOS NO TRIBUTARIOS",10072443.61
1964,"","Imp. sobre la renta",35762836.93
1964,"020","Impuesto Sobre Patrimonio",5113710.33
1964,"030","Impuestos Sobre Transferencia de Propiedades",5056553.14
1964,"","Impuestos sobre el comercio exterior",95484030.43
1964,"","Impuestos sobre la propiedad",10170263.47
1964,"","Impuestos sobre transacciones internas",57668370.96
1964,"","Ingresos No Tributarios y Otros Ingresos Corrientes",10975172.03
1964,"","Ingresos de Capital",7769496.56
1964,"170","OTROS IMPUESTOS Y GRAVÁMENES DIVERSOS",518566.88
1964,"400","OTROS INGRESOS CORRIENTES",58577.54
1964,"","Otros",518566.88
1964,"300","TRANSFERENCIAS CORRIENTES DEL SECTOR PRIVADO",844150.88
1964,"","Total General de Ingresos (Corrientes + Capital)",218348737.26
1964,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",210579240.7
1964,"","Total Ingresos No Tributarios",18744668.59
1964,"","Total Ingresos Tributarios",199604068.67
1965,"","Imp. sobre la renta",0
1965,"","Impuestos sobre el comercio exterior",0
1965,"","Impuestos sobre la propiedad",0
1965,"","Impuestos sobre transacciones internas",0
1965,"","Ingresos No Tributarios y Otros Ingresos Corrientes",12188000
1965,"","Ingresos de Capital",17479000
1965,"","Otros",0
1965,"","Total General de Ingresos (Corrientes + Capital)",242021000
1965,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",224542000
1965,"","Total Ingresos No Tributarios",29667000
1965,"","Total Ingresos Tributarios",212354000
1966,"","Imp. sobre la renta",0
1966,"","Impuestos sobre el comercio exterior",0
